draft_year,draft_round,draft_pick,draft_team,draft_pos,college,draft_age,pfr_id,pid
1987,10,261,PIT,RB,Idaho St.,22.0,HogeMe00,
1987,10,263,NOR,WR,North Carolina Central,22.0,ClarRo00,
1987,10,269,CIN,RB,Georgia,23.0,McClDa22,
1987,10,270,SEA,WR,Mississippi St.,23.0,ClarLo00,
1987,10,271,KAN,RB,Southern,24.0,EvanJa22,
1987,10,274,WAS,WR,Central Florida,23.0,WilsTe20,
1987,11,282,GNB,WR,Grambling St.,22.0,ScotPa00,
1987,11,288,RAI,RB,Arizona,23.0,McLeCh20,
1987,11,290,NOR,TE,Grambling St.,24.0,WellAr20,
1987,11,294,RAI,TE,Mississippi,23.0,PerrMa20,
1987,11,295,MIN,QB,Montana,22.0,PeasBr00,
1987,11,297,SEA,RB,Miami (FL),23.0,OlivDa20,
1987,11,301,SFO,WR,Grambling St.,23.0,NichCa20,
1987,11,304,WAS,WR,Texas,23.0,BrowLa21,
1987,11,305,CHI,RB,Auburn,24.0,JessTi20,
1987,11,307,NYG,QB,Michigan Tech,22.0,WaltDa20,
1987,12,309,IND,RB,Arizona,23.0,AdamDa20,
1987,12,314,HOU,RB,Texas A&M,24.0,ValeIr20,
1987,12,315,DET,WR,Georgia Tech,22.0,LeexGa00,
1987,12,316,PHI,RB,Michigan St.,21.0,MorsBo00,
1987,12,317,PIT,TE,Arkansas,22.0,YounTh20,
1987,12,320,ATL,RB,Wisconsin,23.0,EmerLa20,
1987,12,324,SEA,RB,Middle Tenn. St.,22.0,BursTo20,
1987,12,326,RAM,RB,Colorado Mesa,24.0,WillAl22,
1987,12,328,CIN,RB,West Virginia,23.0,HoliJo20,
1987,12,329,NYG,RB,North Dakota St.,22.0,StarCh20,
1987,12,330,NWE,RB,Central Florida,21.0,DaviEl20,
1988,1,6,RAI,WR,Notre Dame,22.0,BrowTi00,P0032
1988,1,7,GNB,WR,South Carolina,23.0,SharSt00,
1988,1,11,DAL,WR,Miami (FL),22.0,IrviMi00,
1988,1,13,PHI,TE,Oklahoma,23.0,JackKe00,
1988,1,14,RAM,RB,UCLA,22.0,GreeGa00,
1988,1,15,SDG,WR,Tennessee,23.0,MillAn00,
1988,1,17,NWE,RB,Northwestern St. (LA),22.0,StepJo00,
1988,1,20,RAM,WR,Arizona St.,23.0,CoxxAa00,
1988,1,22,HOU,RB,Michigan St.,22.0,WhitLo00,
1988,1,23,CHI,RB,Stanford,23.0,MustBr00,
1988,1,24,NOR,RB,Pittsburgh,21.0,HeywCr00,
1988,1,27,CHI,WR,LSU,22.0,DaviWe00,
1988,2,31,CIN,RB,UNLV,22.0,WoodIc00,
1988,2,32,DET,TE,Florida St.,22.0,CartPa00,
1988,2,38,PHO,RB,TCU,24.0,JeffTo20,
1988,2,40,BUF,RB,Oklahoma St.,22.0,ThomTh00,P0232
1988,2,46,RAM,WR,UCLA,23.0,AndeFl00,
1988,2,49,SEA,WR,Miami (FL),23.0,BladBr00,
1988,2,52,NOR,WR,Miami (FL),22.0,PerrBr00,
1988,2,53,TAM,RB,Georgia,22.0,TateLa00,
1988,3,56,ATL,TE,Ohio St.,21.0,HigdAl20,
1988,3,58,DET,WR,Penn St.,22.0,RounRa21,
1988,3,60,SDG,WR,Iowa,23.0,EarlQu00,
1988,3,61,GNB,RB,Texas A&M,24.0,WoodKe00,
1988,3,65,BUF,WR,Central Florida,22.0,FordBe00,
1988,3,66,WAS,RB,Puget Sound,25.0,OlipMi00,
1988,3,68,PHO,QB,Ohio St.,22.0,TupaTo20,
1988,3,73,MIA,TE,Maryland,23.0,EdmuFe00,
1988,3,75,SEA,WR,Syracuse,24.0,KaneTo00,
1988,3,76,IND,QB,Washington,22.0,ChanCh00,P0130
1988,4,97,NWE,WR,LSU,23.0,MartSa00,
1988,4,101,SEA,RB,Iowa,21.0,HarmKe20,
1988,4,105,CHI,TE,Cal State-Fullerton,23.0,ThorJa00,
1988,4,106,NOR,RB,Oklahoma,23.0,CarrLy20,
1988,4,109,WAS,RB,Michigan,23.0,MorrJa00,
1988,5,112,NOR,TE,Wake Forest,22.0,ScalGr00,
1988,5,113,TAM,RB,Tennessee,24.0,HowaWi00,
1988,5,117,RAM,RB,Missouri,22.0,DelpRo00,
1988,5,130,HOU,TE,Cal State-Chico,22.0,VerhCh20,
1988,5,132,PHO,RB,Kansas St.,23.0,JordTo00,
1988,6,138,ATL,WR,UNLV,24.0,ThomGe00,
1988,6,139,KAN,FB,San Jose St.,22.0,SaxoJa00,
1988,6,142,DET,RB,Hampton,24.0,PainCa20,
1988,6,147,RAM,RB,Nebraska,22.0,JoneKe00,
1988,6,151,DAL,QB,Virginia,23.0,SecuSc00,
1988,6,153,MIA,RB,Miami (FL),23.0,BratMe00,
1988,6,154,NWE,TE,Virginia Tech,23.0,JohnSt21,
1988,6,155,PIT,RB,Miami (FL),23.0,WillWa00,
1988,6,159,WAS,QB,La-Monroe,23.0,HumpSt00,
1988,7,166,ATL,WR,Northern Arizona,22.0,HaynMi00,
1988,7,167,TAM,RB,Alabama,23.0,GoodKe00,
1988,7,174,DEN,TE,Syracuse,22.0,KellPa21,
1988,7,179,PHO,WR,Indiana,23.0,JoneEr00,
1988,7,180,MIA,QB,Florida,23.0,BellKe00,
1988,7,181,NWE,WR,Illinois,23.0,UsheDa20,
1988,7,183,MIN,TE,Nebraska-Omaha,23.0,BeckBr00,
1988,7,186,NYG,TE,Miss. Valley St.,24.0,WhitDa00,
1988,8,197,KAN,TE,Miami (FL),23.0,RobeAl00,
1988,8,199,RAI,WR,Penn St.,23.0,AlexMi00,
1988,8,200,GNB,RB,Oklahoma,22.0,CollPa20,
1988,8,203,NYJ,TE,Nebraska,23.0,NeubKe00,
1988,8,205,DAL,RB,Kentucky,22.0,HiggMa00,
1988,8,211,PIT,TE,Temple,21.0,HinnMi20,
1988,8,215,SEA,TE,South Carolina St.,22.0,TyleRo00,
1988,8,216,CLE,WR,Oregon,23.0,BirdJJ00,
1988,9,222,ATL,RB,UCLA,24.0,PrimJa00,
1988,9,248,DEN,RB,UCLA,22.0,FarrMe20,
1988,10,251,KAN,RB,Colgate,23.0,GambKe00,
1988,10,254,DET,WR,UCLA,23.0,CraiPa20,
1988,10,260,PHO,WR,Miami (OH),23.0,SchiAn20,
1988,11,278,ATL,WR,Maryland,23.0,MillJa00,
1988,11,279,TAM,WR,Tennessee St.,23.0,PillFr00,
1988,11,294,NWE,RB,Tulane,22.0,AlleMa01,
1988,11,297,IND,TE,Tulsa,23.0,DeexDo20,
1988,12,307,CIN,WR,Vanderbilt,23.0,ParkCa20,
1988,12,312,GNB,WR,Auburn,23.0,BoltSc20,
1988,12,320,MIA,TE,LSU,23.0,KincBr00,
1989,1,1,DAL,QB,UCLA,22.0,AikmTr00,P0190
1989,1,3,DET,RB,Oklahoma St.,21.0,SandBa00,
1989,1,7,PIT,RB,Georgia,22.0,WorlTi00,
1989,1,9,MIA,RB,Florida St.,22.0,SmitSa00,
1989,1,13,CLE,RB,Texas,21.0,MetcEr00,
1989,1,16,NWE,WR,Oklahoma St.,23.0,DykeHa00,
1989,1,22,IND,WR,Michigan St.,22.0,RisoAn00,P0107
1989,1,26,RAM,RB,Miami (FL),23.0,GaryCl00,
1989,1,27,ATL,WR,Northern Arizona,22.0,CollSh00,
1989,2,30,DET,WR,Virginia,23.0,FordJo20,
1989,2,31,CLE,WR,Auburn,23.0,TillLa00,
1989,2,32,KAN,QB,Wake Forest,23.0,ElkiMi00,
1989,2,33,TAM,WR,North Carolina St.,23.0,PeebDa00,
1989,2,35,CIN,RB,UCLA,23.0,BallEr00,
1989,2,39,DAL,RB,Syracuse,23.0,JohnDa00,
1989,2,40,PHO,TE,Auburn,23.0,ReevWa00,
1989,2,51,SDG,QB,Texas Tech,23.0,TollBi00,
1989,2,56,SFO,TE,Mississippi,23.0,WallWe00,P0157
1989,3,60,KAN,WR,North Carolina St.,23.0,WortNa20,
1989,3,61,PIT,WR,Arizona,21.0,HillDe00,
1989,3,62,ATL,RB,Illinois,23.0,JoneKe01,
1989,3,63,NWE,TE,Iowa,23.0,CookMa00,
1989,3,71,SEA,RB,Eastern Kentucky,23.0,HarrEl21,
1989,3,74,GNB,QB,Duke,24.0,DilwAn00,
1989,3,76,PHI,RB,Syracuse,22.0,DrumRo00,
1989,3,82,BUF,WR,Chadron St.,24.0,BeebDo00,
1989,3,83,CIN,QB,Oregon St.,23.0,WilhEr00,
1989,3,84,SFO,RB,Georgia,23.0,HendKe00,
1989,4,93,NYG,RB,Jackson St.,23.0,TillLe00,
1989,4,100,NWE,WR,Penn St.,22.0,TimpMi00,
1989,4,101,SEA,TE,Chattanooga,22.0,McNeTr00,
1989,4,102,RAM,QB,Weber St.,23.0,CarlJe00,
1989,4,104,HOU,WR,Texas A&M,22.0,HarrRo21,
1989,4,108,MIN,TE,California,23.0,IngrDa00,
1989,4,110,WAS,WR,USC,23.0,AffhEr00,
1989,4,112,SFO,WR,Marshall,22.0,BarbMi00,
1989,5,113,DAL,TE,Clemson,23.0,JennKe00,
1989,5,116,CLE,WR,Maryland,24.0,JoinVe20,
1989,5,117,TAM,RB,Nicholls St.,23.0,LawsJa20,
1989,5,124,GNB,WR,Millikin,22.0,QuerJe00,
1989,5,126,NYJ,WR,Colorado Mesa,24.0,MartTo00,P0187
1989,5,127,GNB,RB,Ohio St.,21.0,WorkVi00,
1989,5,130,CHI,RB,Notre Dame,22.0,GreeMa00,
1989,5,132,NYG,RB,Towson,23.0,MeggDa00,
1989,5,135,RAM,WR,San Diego St.,22.0,JackAl22,
1989,6,140,RAI,QB,Tennessee,23.0,FranJe20,
1989,6,141,DET,QB,USC,23.0,PeetRo00,P0352
1989,6,143,KAN,WR,Oregon St.,23.0,ThomRo01,
1989,6,144,PIT,WR,VMI,23.0,StocMa20,
1989,6,145,ATL,TE,Georgia,23.0,SadoTr00,
1989,6,153,NYJ,WR,Troy,23.0,DixoTi20,
1989,6,156,RAI,RB,North Dakota St.,24.0,LloyDo20,
1989,6,158,NYG,TE,Alabama,22.0,CrosHo00,
1989,6,159,NOR,WR,Northwestern St. (LA),23.0,TurnFl00,
1989,6,162,PHI,RB,Texas A&M-Kingsville,22.0,SherHe00,
1989,6,166,CIN,RB,West Virginia,23.0,TaylCr00,
1989,7,172,ATL,RB,West Virginia,23.0,JohnUn20,
1989,7,182,IND,RB,Kentucky,22.0,HuntIv00,
1989,7,183,SDG,RB,Florida St.,23.0,ButtMa00,
1989,7,194,CIN,WR,Utah St.,23.0,SmitKe00,
1989,8,204,SDG,WR,Nebraska,24.0,BrinDa00,
1989,8,205,RAI,RB,Florida A&M,23.0,GainDe00,
1989,8,208,DEN,TE,USC,22.0,GreePa00,
1989,8,209,NYJ,RB,West Virginia,23.0,BrowAB00,
1989,8,220,KAN,RB,Temple,23.0,McNaTo00,
1989,9,230,TAM,RB,Nevada,22.0,EguxPa00,
1989,9,244,HOU,TE,Penn St.,23.0,MrosBo00,
1989,10,253,DET,WR,Houston,22.0,PhilJa00,
1989,10,268,SEA,RB,North Carolina,22.0,FennDe00,
1989,10,269,RAM,WR,Northeastern,22.0,WillMi00,
1989,10,271,HOU,RB,Clemson,22.0,JohnTr00,
1989,11,286,ATL,RB,Slippery Rock,22.0,PateGr20,
1989,11,287,SDG,RB,Florida St.,23.0,FloyVi20,
1989,11,303,MIN,RB,Alabama St.,22.0,BaxtBr00,
