method,target,tier,overlap,split
k=2,2007,250,68.0,train
k=2,2008,25,32.0,train
k=2,2008,50,54.0,train
k=2,2008,100,63.0,train
k=2,2008,150,60.666666666666664,train
k=2,2008,200,64.0,train
k=2,2008,250,67.6,train
k=2,2009,25,40.0,train
k=2,2009,50,48.0,train
k=2,2009,100,62.0,train
k=2,2009,150,62.666666666666664,train
k=2,2009,200,68.0,train
k=2,2009,250,70.4,train
k=2,2010,25,40.0,train
k=2,2010,50,44.0,train
k=2,2010,100,61.0,train
k=2,2010,150,66.66666666666667,train
k=2,2010,200,73.0,train
k=2,2010,250,73.6,train
k=2,2011,25,36.0,train
k=2,2011,50,52.0,train
k=2,2011,100,60.0,train
k=2,2011,150,62.0,train
k=2,2011,200,68.5,train
k=2,2011,250,72.4,train
k=2,2012,25,48.0,train
k=2,2012,50,46.0,train
k=2,2012,100,61.0,train
k=2,2012,150,66.0,train
k=2,2012,200,64.0,train
k=2,2012,250,66.4,train
k=2,2013,25,48.0,train
k=2,2013,50,48.0,train
k=2,2013,100,62.0,train
k=2,2013,150,64.0,train
k=2,2013,200,67.5,train
k=2,2013,250,70.4,train
k=3,2001,25,48.0,train
k=3,2001,50,54.0,train
k=3,2001,100,62.0,train
k=3,2001,150,65.33333333333333,train
k=3,2001,200,67.5,train
k=3,2001,250,66.0,train
k=3,2002,25,52.0,train
k=3,2002,50,62.0,train
k=3,2002,100,63.0,train
k=3,2002,150,62.666666666666664,train
k=3,2002,200,68.0,train
k=3,2002,250,66.8,train
k=3,2003,25,52.0,train
k=3,2003,50,64.0,train
k=3,2003,100,66.0,train
k=3,2003,150,72.66666666666667,train
k=3,2003,200,71.5,train
k=3,2003,250,73.2,train
k=3,2004,25,44.0,train
k=3,2004,50,50.0,train
k=3,2004,100,60.0,train
k=3,2004,150,62.666666666666664,train
k=3,2004,200,68.5,train
k=3,2004,250,70.4,train
k=3,2005,25,36.0,train
k=3,2005,50,50.0,train
k=3,2005,100,66.0,train
k=3,2005,150,70.66666666666667,train
k=3,2005,200,69.5,train
k=3,2005,250,70.0,train
k=3,2006,25,44.0,train
k=3,2006,50,58.0,train
k=3,2006,100,60.0,train
k=3,2006,150,66.0,train
k=3,2006,200,65.5,train
k=3,2006,250,68.0,train
k=3,2007,25,36.0,train
k=3,2007,50,44.0,train
k=3,2007,100,61.0,train
k=3,2007,150,64.66666666666667,train
k=3,2007,200,67.5,train
k=3,2007,250,68.0,train
k=3,2008,25,32.0,train
k=3,2008,50,54.0,train
k=3,2008,100,63.0,train
k=3,2008,150,60.0,train
k=3,2008,200,64.0,train
k=3,2008,250,67.6,train
k=3,2009,25,40.0,train
k=3,2009,50,48.0,train
k=3,2009,100,61.0,train
k=3,2009,150,62.666666666666664,train
k=3,2009,200,68.0,train
k=3,2009,250,70.4,train
k=3,2010,25,40.0,train
k=3,2010,50,44.0,train
k=3,2010,100,61.0,train
k=3,2010,150,66.66666666666667,train
k=3,2010,200,73.5,train
k=3,2010,250,73.6,train
k=3,2011,25,36.0,train
k=3,2011,50,52.0,train
k=3,2011,100,60.0,train
k=3,2011,150,62.666666666666664,train
k=3,2011,200,68.0,train
k=3,2011,250,72.4,train
k=3,2012,25,52.0,train
k=3,2012,50,46.0,train
k=3,2012,100,61.0,train
k=3,2012,150,66.0,train
k=3,2012,200,64.0,train
k=3,2012,250,66.4,train
k=3,2013,25,48.0,train
k=3,2013,50,46.0,train
k=3,2013,100,62.0,train
k=3,2013,150,63.333333333333336,train
k=3,2013,200,67.5,train
k=3,2013,250,70.4,train
k=4,2001,25,48.0,train
k=4,2001,50,54.0,train
k=4,2001,100,60.0,train
k=4,2001,150,65.33333333333333,train
k=4,2001,200,67.0,train
k=4,2001,250,66.0,train
k=4,2002,25,52.0,train
k=4,2002,50,62.0,train
k=4,2002,100,63.0,train
k=4,2002,150,62.666666666666664,train
k=4,2002,200,68.0,train
k=4,2002,250,66.8,train
k=4,2003,25,52.0,train
k=4,2003,50,64.0,train
k=4,2003,100,65.0,train
k=4,2003,150,73.33333333333333,train
k=4,2003,200,71.5,train
k=4,2003,250,73.2,train
k=4,2004,25,44.0,train
k=4,2004,50,50.0,train
k=4,2004,100,60.0,train
k=4,2004,150,62.666666666666664,train
k=4,2004,200,68.5,train
k=4,2004,250,70.4,train
k=4,2005,25,36.0,train
k=4,2005,50,50.0,train
k=4,2005,100,67.0,train
k=4,2005,150,70.66666666666667,train
k=4,2005,200,70.0,train
k=4,2005,250,70.0,train
k=4,2006,25,40.0,train
k=4,2006,50,58.0,train
k=4,2006,100,60.0,train
k=4,2006,150,66.0,train
k=4,2006,200,65.5,train
k=4,2006,250,68.0,train
k=4,2007,25,36.0,train
k=4,2007,50,44.0,train
k=4,2007,100,62.0,train
k=4,2007,150,65.33333333333333,train
k=4,2007,200,67.0,train
k=4,2007,250,68.0,train
k=4,2008,25,36.0,train
k=4,2008,50,52.0,train
k=4,2008,100,63.0,train
k=4,2008,150,60.0,train
k=4,2008,200,64.0,train
k=4,2008,250,67.6,train
k=4,2009,25,40.0,train
k=4,2009,50,50.0,train
k=4,2009,100,61.0,train
k=4,2009,150,62.0,train
k=4,2009,200,68.0,train
k=4,2009,250,70.4,train
k=4,2010,25,44.0,train
k=4,2010,50,44.0,train
k=4,2010,100,61.0,train
k=4,2010,150,66.0,train
k=4,2010,200,73.0,train
k=4,2010,250,73.6,train
k=4,2011,25,36.0,train
k=4,2011,50,52.0,train
k=4,2011,100,61.0,train
k=4,2011,150,62.666666666666664,train
k=4,2011,200,68.0,train
k=4,2011,250,72.4,train
k=4,2012,25,52.0,train
k=4,2012,50,46.0,train
k=4,2012,100,60.0,train
k=4,2012,150,65.33333333333333,train
k=4,2012,200,64.0,train
k=4,2012,250,66.4,train
k=4,2013,25,48.0,train
k=4,2013,50,46.0,train
k=4,2013,100,62.0,train
k=4,2013,150,62.666666666666664,train
k=4,2013,200,68.0,train
k=4,2013,250,70.4,train
k=6,2001,25,48.0,train
k=6,2001,50,52.0,train
k=6,2001,100,60.0,train
k=6,2001,150,65.33333333333333,train
k=6,2001,200,66.5,train
k=6,2001,250,66.0,train
k=6,2002,25,52.0,train
k=6,2002,50,62.0,train
k=6,2002,100,63.0,train
k=6,2002,150,62.666666666666664,train
k=6,2002,200,67.5,train
k=6,2002,250,66.8,train
k=6,2003,25,56.0,train
k=6,2003,50,62.0,train
k=6,2003,100,64.0,train
k=6,2003,150,73.33333333333333,train
k=6,2003,200,71.5,train
k=6,2003,250,73.2,train
k=6,2004,25,40.0,train
k=6,2004,50,52.0,train
k=6,2004,100,59.0,train
k=6,2004,150,62.0,train
k=6,2004,200,69.5,train
k=6,2004,250,70.4,train
k=6,2005,25,32.0,train
k=6,2005,50,48.0,train
k=6,2005,100,66.0,train
k=6,2005,150,70.0,train
k=6,2005,200,71.0,train
k=6,2005,250,70.0,train
k=6,2006,25,40.0,train
k=6,2006,50,56.0,train
k=6,2006,100,58.0,train
k=6,2006,150,66.66666666666667,train
k=6,2006,200,66.0,train
k=6,2006,250,68.0,train
k=6,2007,25,36.0,train
k=6,2007,50,44.0,train
k=6,2007,100,62.0,train
k=6,2007,150,65.33333333333333,train
k=6,2007,200,67.5,train
k=6,2007,250,68.0,train
k=6,2008,25,36.0,train
k=6,2008,50,52.0,train
k=6,2008,100,63.0,train
k=6,2008,150,58.666666666666664,train
k=6,2008,200,63.5,train
k=6,2008,250,67.6,train
k=6,2009,25,44.0,train
k=6,2009,50,50.0,train
k=6,2009,100,61.0,train
k=6,2009,150,61.333333333333336,train
k=6,2009,200,68.5,train
k=6,2009,250,70.4,train
k=6,2010,25,40.0,train
k=6,2010,50,44.0,train
k=6,2010,100,61.0,train
k=6,2010,150,65.33333333333333,train
k=6,2010,200,73.0,train
k=6,2010,250,73.6,train
k=6,2011,25,36.0,train
k=6,2011,50,52.0,train
k=6,2011,100,60.0,train
k=6,2011,150,61.333333333333336,train
k=6,2011,200,68.0,train
k=6,2011,250,72.4,train
k=6,2012,25,48.0,train
k=6,2012,50,48.0,train
k=6,2012,100,60.0,train
k=6,2012,150,64.66666666666667,train
k=6,2012,200,64.0,train
k=6,2012,250,66.4,train
k=6,2013,25,52.0,train
k=6,2013,50,46.0,train
k=6,2013,100,60.0,train
k=6,2013,150,62.666666666666664,train
k=6,2013,200,68.0,train
k=6,2013,250,70.4,train
k=8,2001,25,48.0,train
k=8,2001,50,52.0,train
k=8,2001,100,60.0,train
k=8,2001,150,65.33333333333333,train
k=8,2001,200,67.0,train
k=8,2001,250,66.0,train
k=8,2002,25,52.0,train
k=8,2002,50,62.0,train
k=8,2002,100,63.0,train
k=8,2002,150,64.0,train
k=8,2002,200,67.5,train
k=8,2002,250,66.8,train
k=8,2003,25,56.0,train
k=8,2003,50,64.0,train
k=8,2003,100,63.0,train
k=8,2003,150,73.33333333333333,train
k=8,2003,200,71.0,train
k=8,2003,250,73.2,train
k=8,2004,25,40.0,train
k=8,2004,50,52.0,train
k=8,2004,100,59.0,train
k=8,2004,150,61.333333333333336,train
k=8,2004,200,69.5,train
k=8,2004,250,70.4,train
k=8,2005,25,32.0,train
k=8,2005,50,50.0,train
k=8,2005,100,65.0,train
k=8,2005,150,70.0,train
k=8,2005,200,70.0,train
k=8,2005,250,70.0,train
k=8,2006,25,40.0,train
k=8,2006,50,58.0,train
k=8,2006,100,57.0,train
k=8,2006,150,66.0,train
k=8,2006,200,66.0,train
k=8,2006,250,68.0,train
k=8,2007,25,36.0,train
k=8,2007,50,44.0,train
k=8,2007,100,61.0,train
k=8,2007,150,64.0,train
k=8,2007,200,67.0,train
k=8,2007,250,68.0,train
k=8,2008,25,36.0,train
k=8,2008,50,52.0,train
k=8,2008,100,63.0,train
k=8,2008,150,58.666666666666664,train
k=8,2008,200,63.5,train
k=8,2008,250,67.6,train
k=8,2009,25,44.0,train
k=8,2009,50,50.0,train
k=8,2009,100,60.0,train
k=8,2009,150,61.333333333333336,train
k=8,2009,200,68.0,train
k=8,2009,250,70.4,train
k=8,2010,25,40.0,train
k=8,2010,50,48.0,train
k=8,2010,100,61.0,train
k=8,2010,150,66.0,train
k=8,2010,200,73.0,train
k=8,2010,250,73.6,train
k=8,2011,25,40.0,train
k=8,2011,50,50.0,train
k=8,2011,100,59.0,train
k=8,2011,150,61.333333333333336,train
k=8,2011,200,67.0,train
k=8,2011,250,72.4,train
k=8,2012,25,48.0,train
k=8,2012,50,46.0,train
k=8,2012,100,60.0,train
k=8,2012,150,64.66666666666667,train
k=8,2012,200,64.5,train
k=8,2012,250,66.4,train
k=8,2013,25,52.0,train
k=8,2013,50,46.0,train
k=8,2013,100,60.0,train
k=8,2013,150,62.666666666666664,train
k=8,2013,200,68.0,train
k=8,2013,250,70.4,train
k=12,2001,25,48.0,train
k=12,2001,50,52.0,train
k=12,2001,100,60.0,train
k=12,2001,150,64.66666666666667,train
k=12,2001,200,66.5,train
k=12,2001,250,66.0,train
k=12,2002,25,52.0,train
k=12,2002,50,60.0,train
k=12,2002,100,62.0,train
k=12,2002,150,64.0,train
k=12,2002,200,66.5,train
k=12,2002,250,66.8,train
k=12,2003,25,56.0,train
k=12,2003,50,62.0,train
k=12,2003,100,62.0,train
k=12,2003,150,72.0,train
k=12,2003,200,71.5,train
k=12,2003,250,73.2,train
k=12,2004,25,40.0,train
k=12,2004,50,52.0,train
k=12,2004,100,59.0,train
k=12,2004,150,61.333333333333336,train
k=12,2004,200,68.5,train
k=12,2004,250,70.4,train
k=12,2005,25,28.0,train
k=12,2005,50,48.0,train
k=12,2005,100,65.0,train
k=12,2005,150,69.33333333333333,train
k=12,2005,200,68.0,train
k=12,2005,250,70.0,train
k=12,2006,25,40.0,train
k=12,2006,50,56.0,train
k=12,2006,100,58.0,train
k=12,2006,150,66.0,train
k=12,2006,200,65.5,train
k=12,2006,250,68.0,train
k=12,2007,25,36.0,train
k=12,2007,50,40.0,train
k=12,2007,100,60.0,train
k=12,2007,150,62.666666666666664,train
k=12,2007,200,66.5,train
k=12,2007,250,68.0,train
k=12,2008,25,32.0,train
k=12,2008,50,54.0,train
k=12,2008,100,60.0,train
k=12,2008,150,57.333333333333336,train
k=12,2008,200,63.0,train
k=12,2008,250,67.6,train
k=12,2009,25,36.0,train
k=12,2009,50,52.0,train
k=12,2009,100,58.0,train
k=12,2009,150,60.666666666666664,train
k=12,2009,200,68.0,train
k=12,2009,250,70.4,train
k=12,2010,25,40.0,train
k=12,2010,50,48.0,train
k=12,2010,100,60.0,train
k=12,2010,150,65.33333333333333,train
k=12,2010,200,72.5,train
k=12,2010,250,73.6,train
k=12,2011,25,36.0,train
k=12,2011,50,48.0,train
k=12,2011,100,60.0,train
k=12,2011,150,60.666666666666664,train
k=12,2011,200,67.0,train
k=12,2011,250,72.4,train
k=12,2012,25,44.0,train
k=12,2012,50,50.0,train
k=12,2012,100,59.0,train
k=12,2012,150,64.66666666666667,train
k=12,2012,200,63.5,train
k=12,2012,250,66.4,train
k=12,2013,25,52.0,train
k=12,2013,50,50.0,train
k=12,2013,100,60.0,train
k=12,2013,150,62.666666666666664,train
k=12,2013,200,68.5,train
k=12,2013,250,70.4,train
k=16,2001,25,52.0,train
k=16,2001,50,50.0,train
k=16,2001,100,60.0,train
k=16,2001,150,62.666666666666664,train
k=16,2001,200,66.0,train
k=16,2001,250,66.0,train
k=16,2002,25,48.0,train
k=16,2002,50,60.0,train
k=16,2002,100,63.0,train
k=16,2002,150,62.666666666666664,train
k=16,2002,200,66.0,train
k=16,2002,250,66.8,train
k=16,2003,25,52.0,train
k=16,2003,50,60.0,train
k=16,2003,100,63.0,train
k=16,2003,150,70.66666666666667,train
k=16,2003,200,71.5,train
k=16,2003,250,73.2,train
k=16,2004,25,40.0,train
k=16,2004,50,52.0,train
k=16,2004,100,58.0,train
k=16,2004,150,62.0,train
k=16,2004,200,68.0,train
k=16,2004,250,70.4,train
k=16,2005,25,24.0,train
k=16,2005,50,48.0,train
k=16,2005,100,61.0,train
k=16,2005,150,68.0,train
k=16,2005,200,67.5,train
k=16,2005,250,70.0,train
k=16,2006,25,44.0,train
k=16,2006,50,52.0,train
k=16,2006,100,57.0,train
k=16,2006,150,66.0,train
k=16,2006,200,65.0,train
k=16,2006,250,68.0,train
k=16,2007,25,32.0,train
k=16,2007,50,38.0,train
k=16,2007,100,57.0,train
k=16,2007,150,62.0,train
k=16,2007,200,66.0,train
k=16,2007,250,68.0,train
k=16,2008,25,32.0,train
k=16,2008,50,54.0,train
k=16,2008,100,60.0,train
k=16,2008,150,58.0,train
k=16,2008,200,62.5,train
k=16,2008,250,67.6,train
k=16,2009,25,36.0,train
k=16,2009,50,54.0,train
k=16,2009,100,58.0,train
k=16,2009,150,60.0,train
k=16,2009,200,66.5,train
k=16,2009,250,70.4,train
k=16,2010,25,40.0,train
k=16,2010,50,48.0,train
k=16,2010,100,59.0,train
k=16,2010,150,64.66666666666667,train
k=16,2010,200,72.5,train
k=16,2010,250,73.6,train
k=16,2011,25,36.0,train
k=16,2011,50,48.0,train
k=16,2011,100,59.0,train
k=16,2011,150,59.333333333333336,train
k=16,2011,200,67.0,train
k=16,2011,250,72.4,train
k=16,2012,25,44.0,train
k=16,2012,50,50.0,train
k=16,2012,100,59.0,train
k=16,2012,150,64.66666666666667,train
k=16,2012,200,63.5,train
k=16,2012,250,66.4,train
k=16,2013,25,40.0,train
k=16,2013,50,50.0,train
k=16,2013,100,59.0,train
k=16,2013,150,62.666666666666664,train
k=16,2013,200,69.0,train
k=16,2013,250,70.4,train
k=24,2001,25,48.0,train
k=24,2001,50,48.0,train
k=24,2001,100,58.0,train
k=24,2001,150,62.666666666666664,train
k=24,2001,200,65.0,train
k=24,2001,250,66.0,train
k=24,2002,25,48.0,train
k=24,2002,50,60.0,train
k=24,2002,100,65.0,train
k=24,2002,150,61.333333333333336,train
k=24,2002,200,67.5,train
k=24,2002,250,66.8,train
k=24,2003,25,52.0,train
k=24,2003,50,60.0,train
k=24,2003,100,62.0,train
k=24,2003,150,69.33333333333333,train
k=24,2003,200,71.0,train
k=24,2003,250,73.2,train
k=24,2004,25,40.0,train
k=24,2004,50,52.0,train
k=24,2004,100,57.0,train
k=24,2004,150,62.0,train
k=24,2004,200,67.0,train
k=24,2004,250,70.4,train
k=24,2005,25,20.0,train
k=24,2005,50,46.0,train
k=24,2005,100,60.0,train
k=24,2005,150,66.66666666666667,train
k=24,2005,200,67.5,train
k=24,2005,250,70.0,train
k=24,2006,25,44.0,train
k=24,2006,50,50.0,train
k=24,2006,100,56.0,train
k=24,2006,150,64.66666666666667,train
k=24,2006,200,65.0,train
k=24,2006,250,68.0,train
k=24,2007,25,24.0,train
k=24,2007,50,46.0,train
k=24,2007,100,57.0,train
k=24,2007,150,60.0,train
k=24,2007,200,66.0,train
k=24,2007,250,68.0,train
k=24,2008,25,28.0,train
k=24,2008,50,52.0,train
k=24,2008,100,57.0,train
k=24,2008,150,56.666666666666664,train
k=24,2008,200,61.5,train
k=24,2008,250,67.6,train
k=24,2009,25,36.0,train
k=24,2009,50,52.0,train
k=24,2009,100,58.0,train
k=24,2009,150,59.333333333333336,train
k=24,2009,200,65.0,train
k=24,2009,250,70.4,train
k=24,2010,25,36.0,train
k=24,2010,50,50.0,train
k=24,2010,100,58.0,train
k=24,2010,150,64.66666666666667,train
k=24,2010,200,72.5,train
k=24,2010,250,73.6,train
k=24,2011,25,40.0,train
k=24,2011,50,46.0,train
k=24,2011,100,59.0,train
k=24,2011,150,59.333333333333336,train
k=24,2011,200,66.5,train
k=24,2011,250,72.4,train
k=24,2012,25,44.0,train
k=24,2012,50,46.0,train
k=24,2012,100,57.0,train
k=24,2012,150,64.0,train
k=24,2012,200,63.0,train
k=24,2012,250,66.4,train
k=24,2013,25,36.0,train
k=24,2013,50,50.0,train
k=24,2013,100,60.0,train
k=24,2013,150,63.333333333333336,train
k=24,2013,200,69.0,train
k=24,2013,250,70.4,train
k=32,2001,25,44.0,train
k=32,2001,50,44.0,train
k=32,2001,100,54.0,train
k=32,2001,150,62.0,train
k=32,2001,200,65.0,train
k=32,2001,250,66.0,train
k=32,2002,25,48.0,train
k=32,2002,50,60.0,train
k=32,2002,100,65.0,train
k=32,2002,150,60.666666666666664,train
k=32,2002,200,66.0,train
k=32,2002,250,66.8,train
k=32,2003,25,48.0,train
k=32,2003,50,60.0,train
k=32,2003,100,62.0,train
k=32,2003,150,68.66666666666667,train
k=32,2003,200,71.0,train
k=32,2003,250,73.2,train
k=32,2004,25,40.0,train
k=32,2004,50,50.0,train
k=32,2004,100,56.0,train
k=32,2004,150,61.333333333333336,train
k=32,2004,200,67.0,train
